UBIGEO,DISTRITO,PROVINCIA,DEPARTAMENTO,NOMBRE LOCAL,INSTALACION DEPORTIVA,TIPO INSTALACION,TIPO AP,ESPACIOS DEPORTIVOS,DISCIPLINAS DEPORTIVAS,FUNCIONAMIENTO,PLANIFICADA PARA INTERVENCIÓN,COORDENADAS X,COORDENADAS Y,CRITERIO TECNICO,PROBLEMAS ESTRUCTURALES,RIESGO DE COLAPSO,NO CORRESPONDE A MANTENIMIENTO,ESPACIOS DEPORTIVOS INADECUADOS,REQUIIERE REEMPLAZO,EDIFICACION INADECUADA,MOTIVO,ESTADO CONSERVACIÓN BLOQUE,ESTADO SITUACIONAL,ESPACIOS COMPLEMENTARIOS,INSTALACIONES DEPORTIVAS,CONDICION DEL BIEN,ADM,NOMBRE PREDIO,TIPO DEL BIEN,USO GENERICO,USO ESPECIFICO,DIRECCION,AREA (M2),TIPO DOCUMENTO REGISTRAL,NÚMERO DOCUMENTO REGISTRAL,CONDICION SANEAMIENTO,TIPO  CARGAS,BASE,DIRECCION PREDIO,NOMBRE EDIFICACION,TIPO INFRAESTRUCTURA,AREA M2,PROPIETARIO,ADMINISTRACION,PARTIDA ELECTRONICA,SANEADO,CONVENIO,CLASIFICA PREDIO CONVENIO,ENTIDAD,ESTADO CONVENIO,TIPO PREDIO,DESCRIPCION,ESTADO PREDIO,FVEN ITSE,ESTADO ITSE,PROGRAMA LA ACADEMIA,BASE2,DIRECCION PREDIO2,NOMBRE EDIFICACION2,PRIORIZADA,TIPO,RESPONSABLE,ESPECIALIDAD,NRO APOYO,AREA,ITSE,FECHA LIMITE,PROGRAMA LA ACADEMIA2,ESPECTADORES,DEPORTES,ESTADO INFRAESTRUCTURA,MTTO,OBSERVACIONES,DIAGNOSTICO,AÑO,PROY.,CODIGO UNICO IDEA,SNIP
021101,HUARMEY,HUARMEY,ANCASH,COMPLEJO DEPORTIVO DE HUARMEY,INSTALACION DEPORTIVA Y/O RECREATIVA,,COMPLEJO DEPORTIVO RECREATIVO,NO TIENE,,NO,,"-78,167322","-10,10231",NO,SI,NO,NO,SI,NO,NO,,INADECUADO,TERRENO ERIAZO,TERRENO ERIAZO,,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,COMPLEJO DEPORTIVO DE HUARMEY,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,COMPLEJO DEPORTIVO,"JR. 28 DE JULIO, ZONA PUERTO HUARMEY","48900,37",PARTIDA ELECTRÓNICA,2000100,SI,NO TIENE,UCR,PUERTO HUARMEY,COMPLEJO DEPORTIVO DE HUARMEY,COMPLEJO DEPORTIVO,"48900,37",IPD,IPD,2000100,SI,SIN CONVENIO,SIN CONVENIO ADM POR IPD,NO APLICA,NO APLICA,INFRAESTRUCTURA,"02 PLATAFORMAS DE LOSA DEPORTIVA
SIN CERCO PERIMÉTRICO",MALO,,SIN ITSE,NO,MNTO,PUERTO HUARMEY,COMPLEJO DEPORTIVO DE HUARMEY,NO,REGIONES,JUAN CARLOS CHINEN,ARQUITECTO,07UM,48600.37,SIN ITSE,,NO,800,NO TIENE,TERRENO ERAZO,NO NECESITA MTTO.,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
040101,AREQUIPA,AREQUIPA,AREQUIPA,COLISEO CERRADO DE AREQUIPA,INSTALACION DEPORTIVA DE COMPETENCIA,COLISEO,COLISEO,CAMPO MENOR MULTIDEPORTIVO (01),"FULBITO,
VOLEIBOL, 
BASQUETBOL",SI,NO,"-71,52966659","-16,40548133",NO,SI,SI,SI,SI,SI,NO,,INADECUADO,"ACTUALMENTE  DICHO ESCENARIO SE ENCUENTRA BAJO LA DMINISTRACION DE LA MUNICIPALIDAD PROVINCIAL DE AREQUIPA, EN REGULAR ESTADO DE CONSERVACION","ACTUALMENTE  DICHO ESCENARIO SE ENCUENTRA BAJO LA  ADMINISTRACION DE LA MUNICIPALIDAD PROVINCIAL DE AREQUIPA, EN REGULAR ESTADO DE CONSERVACION",ADMINSTRADO POR LA MUNICIPALIDAD PROVINCIAL DE AREQUIPA,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,COLISEO CERRADO DE AREQUIPA,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,COLISEO,"AV. INDEPENDENCIA S/N AREQUIPA, URB. MUNICIPAL","5681,2",PARTIDA ELECTRÓNICA,1079594,SI,NO TIENE,UCR,AV. INDEPENDENCIA S/N AREQUIPA,COLISEO CERRADO DE AREQUIPA,COLISEO,"5681,2",ESTADO-IPD,MUNICIPALIDAD PROVINCIAL DE AREQUIPA,1079594,SI,CONVENIO N° 039-2014 - AFECTACION EN USO,CONVENIO ADM POR OTRAS INSTITUCIONES,MUNICIPALIDAD PROVINCIAL DE AREQUIPA,VIGENTE,INFRAESTRUCTURA,● LOSA MULTIUSO,REGULAR,,SIN ITSE,NO ESPECIFICA,MNTO,AV. INDEPENDENCIA S/N AREQUIPA,COLISEO CERRADO DE AREQUIPA,NO,REGIONES,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,"1381016,00",SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
040101,AREQUIPA,AREQUIPA,AREQUIPA,ESTADIO CARLOS ALFREDO VILLANUEVA - UMACOLLO,INSTALACION DEPORTIVA DE COMPETENCIA,ESTADIO DE FUTBOL Y PISTA DE ATLETISMO,ESTADIO,"CAMPO DEPORTIVO DE FUTBOL (01), PISTA DE ATLETISMO (01)","FUTBOL, ATLETISMO",SI,NO,"-71,54548559","-16,39911557",NO,SI,SI,SI,SI,SI,SI,SE CUENTA CON EL ACTA DE INSPECCION DE SEGURIDAD EN EDIFICACIONES PARA LA OBETCNION DEL  ITSE,INADECUADO,"EL CAMPO DEPORTIVO SE ENCUENTRA EN REGULAR ESTADO DE CONSERVACION, LA PISTA ATLETICA  EN MAL ESTADO DE CONSERVACION","EN CUANTO AL CERCO PERIMETRICO SE ENCUENTRA EN UN ESTADO DETERIORADO, LOS SSHH SE REQUIERE  NUEVOS AMBIENTES Y CAMBIO DE SANITARIOS, EN CUANTO A LA TRIBUNA SE REQUIERE EL MANTENIMIENTO RESPECTIVO Y LA NUEVA CONSTRUCCION DE LA VOLADURA DE LA TRIBUNA OCCIDENTE Y/O PREFERENCIAL, CONSIDERANDO QUE DICHA ESTRUCTURA A CEDIDO CON PELIGRO A DESPLOMARSE.",SE REQUIERE EN CALIDAD DE URGENTE EL MANTENIMIENTO PREVENTIVO DE DICHO RECINTO DEPORTIVO.,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,ESTADIO CARLOS ALFREDO VILLANUEVA - UMACOLLO,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,ESTADIO,"AV. ABELARDO QUINONES - PAGO UMACOLLO, FINCA ANTES FORMO PARTE DE LA DENOMINADA UMACOLLO S/N","24242,5",PARTIDA ELECTRÓNICA,4005413,SI,AFECTACION EN USO,UCR,AV. EMELL UMACOLLO S/N,ESTADIO CARLOS ALFREDO VILLANUEVA - UMACOLLO,ESTADIO,"24242,5",GOBIERNO REGIONAL DE AREQUIPA,IPD,40054113,SI,CONVENIO S/N,CONVENIO ADM POR IPD,FITNESSVISION EIRL,NO VIGENTE,INFRAESTRUCTURA,"● CAMPO DE FUTBOL                                        ●PISTA DE ATLETISMO
●LOSA DEPORTIVA",REGULAR,,SIN ITSE,SI,MNTO,AV. EMELL UMACOLLO S/N,ESTADIO CARLOS ALFREDO VILLANUEVA - UMACOLLO,NO,REGIONES,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,24242.5,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
040101,AREQUIPA,AREQUIPA,AREQUIPA,ESTADIO CARLOS ALFREDO VILLANUEVA - UMACOLLO,Cargando...,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,"CAMPO MENOR DE FULBITO (01)
(EXPLANADA DE ESTADIO)",FULBITO,SI,NO,"-71,54548559","-16,39911557",NO,NO,NO,NO,NO,NO,NO,,ADECUADO,EN BUEN ESTADO,EN BUEN ESTADO,,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,ESTADIO CARLOS ALFREDO VILLANUEVA - UMACOLLO,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,ESTADIO,"AV. ABELARDO QUINONES - PAGO UMACOLLO, FINCA ANTES FORMO PARTE DE LA DENOMINADA UMACOLLO S/N","24242,5",PARTIDA ELECTRÓNICA,4005413,SI,AFECTACION EN USO,UCR,AV. EMELL UMACOLLO S/N,ESTADIO CARLOS ALFREDO VILLANUEVA - UMACOLLO,ESTADIO,"24242,5",GOBIERNO REGIONAL DE AREQUIPA,IPD,40054113,SI,CONVENIO S/N,CONVENIO ADM POR IPD,FITNESSVISION EIRL,NO VIGENTE,INFRAESTRUCTURA,"● CAMPO DE FUTBOL                                        ●PISTA DE ATLETISMO
●LOSA DEPORTIVA",REGULAR,,SIN ITSE,SI,MNTO,AV. EMELL UMACOLLO S/N,ESTADIO CARLOS ALFREDO VILLANUEVA - UMACOLLO,NO,REGIONES,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,24242.5,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
040101,AREQUIPA,AREQUIPA,AREQUIPA,ESTADIO SERAPIO BARRA LOS PALITOS,INSTALACION DEPORTIVA DE COMPETENCIA,ESTADIO DE FUTBOL,ESTADIO DE FUTBOL,CAMPO DEPORTIVO DE FUTBOL (01),FUTBOL,NO,NO,"-71,52077223","-16,40061877",NO,SI,NO,SI,SI,SI,NO,,INADECUADO,"GRASS SINTETICO, EN MAL ESTADO. EN PROCESO DE RECUPERACION DE LA ADMINISTRACION A CARGO DEL IPD","GRADERIAS, SSHH, ILUMINACION EN PESIMAS CONDICIONES",EN PROCESO DE RECUPERACION DE DICHO ESCENARIO DEPORTIVO.,CON ADMINISTRACION GRATUITA,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,ESTADIO SERAPIO BARRA LOS PALITOS,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,ESTADIO,AV. MARISCAL CASTILLA Nº 200 CERCADO,"8425,02",PARTIDA ELECTRÓNICA,11090191,SI,AFECTACION EN USO,UCR,AV. MARISCAL CASTILLA Nº 200 CERCADO,ESTADIO SERAPIO BARRA LOS PALITOS,ESTADIO,"8425,02",ESTADO-IPD,EMPRESA CANCHAS UNIDAS SAC,11090191,SI,CONVENIO N°076-2010 - CESION EN USO,CONVENIO ADM POR OTRAS INSTITUCIONES,EMPRESA CANCHAS DEPORTIVAS UNIDAS SAC,NO VIGENTE,INFRAESTRUCTURA,● CAMPO DE FUTBOL,MALO,,SIN ITSE,NO ESPECIFICA,MNTO,AV. MARISCAL CASTILLA Nº 200 CERCADO,ESTADIO SERAPIO BARRA LOS PALITOS,NO,REGIONES,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,"2383241,00",SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
040107,JACOBO HUNTER,AREQUIPA,AREQUIPA,COMPLEJO DEPORTIVO CERRO JULY,Cargando...,VELODROMO,VELODROMO,VELODROMO (01),CICLISMO,SI,NO,"-71,54655696","-16,43037313",NO,SI,SI,SI,SI,SI,NO,,INADECUADO,"LA PISTA REQUIERE EL MANTENIMIENTO PREVENTIVO, SE REQUIERE CERCO PERIMETRICO POR LOS DERRUMBRES CONSTANTES, ILUMINACION Y MANTENIMIENTO DE LOS ACCESOS DE INGRESO AL RECINTO DEPORTIVO.",SE REQUIERE EL MANTENIMIENTO DE LA TRIBUNA Y LOS SERVICIOS HIGIENICOS,SE REQUIERE EN CALIDAD DE URGENTE EL MANTENIMIENTO PREVENTIVO DE DICHO RECINTO DEPORTIVO.,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,COMPLEJO DEPORTIVO CERRO JULY,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,COMPLEJO DEPORTIVO,"AV. FRANCISCO MOSTAJO S/N, ZONA CERRO JULY","74956,73",PARTIDA ELECTRÓNICA,4005174,SI,NO TIENE,UCR,AV. FRANCISCO MOSTAJO S/N CERRO JULY,COMPLEJO DEPORTIVO CERRO JULY,COMPLEJO DEPORTIVO,"74956,73",ESTADO-IPD,IPD,4005174,SI,CONVENIO N° 026-2007 - CESION EN USO,CONVENIO ADM POR IPD,FEDERACION DEPORTIVA NACIONAL DE KARTISMO,NO VIGENTE,INFRAESTRUCTURA,"●COLISEO DE GIMNASIA                                                                ● CAMPO PARA PESAS                                                                    ● LOCAL DE ARTES MARCIALES
● VELODROMO",REGULAR,1905-07-17,,NO ESPECIFICA,MNTO,AV. FRANCISCO MOSTAJO S/N CERRO JULY,COMPLEJO DEPORTIVO CERRO JULY,NO,REGIONES,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,74956.73,,,,,,,,,NO HAY DIAGNOSTICO,,"SI, POLIDEPORTIVO DE 01 MODULO",,
040107,JACOBO HUNTER,AREQUIPA,AREQUIPA,COMPLEJO DEPORTIVO CERRO JULY,Cargando...,CENTRO DE ALTO RENDIMIENTO DE MULTIDEPORTIVO,CENTRO DE ALTO RENDIMIENTO MULTIDEPORTIVO,"PISTA DE TROTE, SALAS DE PRACTICA DEPORTIVA DE GIMNASIA,LEVANTAMIENTO DE PESAS, ARTES MARCIALES","CICLISMO, GIMNASIA, LEVANTAMIENTO DE PESAS, ARTES MARCIALES",SI,NO,"-71,54655696","-16,43037313",NO,SI,NO,SI,SI,NO,NO,,INADECUADO,"EN CUANTO  AL MINI COLISEO DE GIMNASIA SE REQUIERE  EL MANTENIMIENTO PREVENTIVO, AL IGUAL QUE EL ESCENARIO DENOMINADO ANGAR DONDE SE DESARROLLA LA PRACTICA DE LA DISCILPLINA DE GIMNASIA DEL PROGRAMA  LA ACADEMIA",SE SOLICITA LA INSTALACION DE LOS SSHH EN EL EL ESCERANRIO DEPORTIVO DENOMINADO ANGAR Y EL MANTENIMIENTO RESPECTIVO,SE REQUIERE EN CALIDAD DE URGENTE EL MANTENIMIENTO PREVENTIVO DE DICHO RECINTO DEPORTIVO.,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,COMPLEJO DEPORTIVO CERRO JULY,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,COMPLEJO DEPORTIVO,"AV. FRANCISCO MOSTAJO S/N, ZONA CERRO JULY","74956,73",PARTIDA ELECTRÓNICA,4005174,SI,NO TIENE,UCR,AV. FRANCISCO MOSTAJO S/N CERRO JULY,COMPLEJO DEPORTIVO CERRO JULY,COMPLEJO DEPORTIVO,"74956,73",ESTADO-IPD,IPD,4005174,SI,CONVENIO N° 026-2007 - CESION EN USO,CONVENIO ADM POR IPD,FEDERACION DEPORTIVA NACIONAL DE KARTISMO,NO VIGENTE,INFRAESTRUCTURA,"●COLISEO DE GIMNASIA                                                                ● CAMPO PARA PESAS                                                                    ● LOCAL DE ARTES MARCIALES
● VELODROMO",REGULAR,1905-07-17,,NO ESPECIFICA,MNTO,AV. FRANCISCO MOSTAJO S/N CERRO JULY,COMPLEJO DEPORTIVO CERRO JULY,NO,REGIONES,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,74956.73,,,,,,,,,NO HAY DIAGNOSTICO,,"SI, POLIDEPORTIVO DE 01 MODULO",,
040201,CAMANA,CAMANA,AREQUIPA,ESTADIO 9 DE NOVIEMBRE,INSTALACION DEPORTIVA DE COMPETENCIA,ESTADIO DE FUTBOL Y PISTA DE ATLETISMO,ESTADIO,"CAMPO DEPORTIVO DE FUTBOL (01), PISTA DE ATLETISMO (01)","FUTBOL, ATLETISMO",SI,NO,"-72,71577475","-16,62281531",NO,SI,NO,SI,SI,SI,NO,,INADECUADO,"EL CAMPO DEPORTIVO SE ENCUENTRA EN REGULAR ESTADO DE CONSERVACION, SE CUENTA CON UNA PISTA ATLETICA DE TIERRA, FALTA ILIMUNACION,, PINTADO, CAMBIO DE LA MALLA OLIMPICA","MNATENIMIENTO DE LAS TRIBUNAS, CAMBIO DE LOS SSHH, MANTENIMIENTO DEL CERCO PERIMETRICO, MANTENIMIENTO DEL PORTON DEL ESCENARIO DEPORTIVO",SE REQUIERE EN CALIDAD DE URGENTE EL MANTENIMIENTO PREVENTIVO DE DICHO RECINTO DEPORTIVO.,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,ESTADIO 9 DE NOVIEMBRE,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,ESTADIO,AV. 9 DE NOVIEMBRE S/N LA ROMERA,30550,PARTIDA ELECTRÓNICA,12003256,SI,NO TIENE,UCR,AV. 9 DE NOVIEMBRE S/N LA ROMERA,ESTADIO 9 DE NOVIEMBRE,ESTADIO,30550,IPD,IPD,12003256,SI,CONVENIO N° 047-2019 - AFECTACION EN USO (CERRADO),CONVENIO ADM POR IPD,GERENCIA REGIONAL DE EDUCACION,NO VIGENTE,INFRAESTRUCTURA,● CAMPO DE FUTBOL                                        ●PISTA DE ATLETISMO,REGULAR,,SIN ITSE,NO ESPECIFICA,MNTO,AV. 9 DE NOVIEMBRE S/N LA ROMERA,ESTADIO 9 DE NOVIEMBRE,NO,REGIONES,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,"30550,00",SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
040201,CAMANA,CAMANA,AREQUIPA,ESTADIO 9 DE NOVIEMBRE,Cargando...,COLISEO,COLISEO,CAMPO MENOR MULTIDEPORTIVO,"VOLEIBOL, BASQUETBOL, FULBITO",SI,NO,"-72,71577475","-16,62281531",NO,SI,NO,NO,NO,NO,NO,,INADECUADO,"EL ESCERNARIUO DEPORTIVO, ACTUALMENTE SE ENCUENTRA SIN COBERTOR, SE FIRMO CONVENIO CON EL GOBIERNO REGIONAL AFIN DE INSTALARA DICHO COBERTOR, OBRA INCONCLUSA.","TRIBUNA, SSHH, EN BUENAS CONDICIONES.",SE REQUIERE EN CALIDAD DE URGENTE LA COLOCACION DEL COBERTOR DE DICHO ESCENARIO DEPORTIVO EN CALIDAD DE URGENTE.,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,ESTADIO 9 DE NOVIEMBRE,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,ESTADIO,AV. 9 DE NOVIEMBRE S/N LA ROMERA,30550,PARTIDA ELECTRÓNICA,12003256,SI,NO TIENE,UCR,AV. 9 DE NOVIEMBRE S/N LA ROMERA,ESTADIO 9 DE NOVIEMBRE,ESTADIO,30550,IPD,IPD,12003256,SI,CONVENIO N° 047-2019 - AFECTACION EN USO (CERRADO),CONVENIO ADM POR IPD,GERENCIA REGIONAL DE EDUCACION,NO VIGENTE,INFRAESTRUCTURA,● CAMPO DE FUTBOL                                        ●PISTA DE ATLETISMO,REGULAR,,SIN ITSE,NO ESPECIFICA,MNTO,AV. 9 DE NOVIEMBRE S/N LA ROMERA,ESTADIO 9 DE NOVIEMBRE,NO,REGIONES,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,"30550,00",SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
040206,OCOÑA,CAMANA,AREQUIPA,COMPLEJO DEPORTIVO LA PLANCHADA,INSTALACION DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,CAMPO MENOR DE FULBITO,FULBITO,SI,SI,"-73,224027","-16,400315",NO,NO,NO,NO,NO,NO,NO,,ADECUADO,"LA LOZA  DEPORTIVA SE ENCUENTRA EN REGULAR ESTADO DE CONSERVACION, Y PARTE DEL TERRENO SE ENCUENTRA OCUPADO POR UNA IIEE SIN CONVENIO ALGUNO","LA LOZA  DEPORTIVA SE ENCUENTRA EN REGULAR ESTADO DE CONSERVACION, Y PARTE DEL TERRENO SE ENCUENTRA OCUPADO POR UNA IIEE SIN CONVENIO ALGUNO","SE REQUIERE DE CARACTER URGENTE LA DELIMITACION Y EL CERCO PERIMETRICO, Y FORMALIZACION DE LA IIE MEDIANTE CONVENIO.",PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,COMPLEJO DEPORTIVO LA PLANCHADA,OTROS,AREA DEPORTIVA,COMPLEJO DEPORTIVO,"CARRETERA PANAMERICANA SUR KM 765-FRENTE A LA CALETA LA PLANCHADA, CENTRO POBLADO LA PLANCHADA/SECCION 1, LOTE 11 MZ I1","23927,43",PARTIDA ELECTRÓNICA,P06169909,SI,NO TIENE,UCR,CARRETERA PANAMERICANA SUR KM 765-FRENTE A LA CALETA LA PLANCHADA,COMPLEJO DEPORTIVO LA PLANCHADA,COMPLEJO DEPORTIVO,"23927,43",IPD,"I.E. REYNA DE ESPAÑA, SIN CONVENIO, LA OTRA PARTE ESTÁ BAJO LA ADMINISTRACIÓN DEL IPD.",P06169909,SI,SIN CONVENIO,SIN CONVENIO ADM POR OTRAS INSTITUCIONES,NO APLICA,NO APLICA,INFRAESTRUCTURA,● LOSA DEPORTIVA,MALO,,SIN ITSE,NO ESPECIFICA,MNTO,CARRETERA PANAMERICANA SUR KM 765-FRENTE A LA CALETA LA PLANCHADA,COMPLEJO DEPORTIVO LA PLANCHADA,NO,REGIONES,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,23927.43,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
040303,ÁTICO,CARAVELI,AREQUIPA,COMPLEJO DEPORTIVO ATICO,INSTALACION DEPORTIVA Y/O RECREATIVA,OTROS,COMPLEJO DEPORTIVO RECREATIVO,NINGUNO,NINGUNO,NO,NO,"-73,61582618","-16,22582778",NO,NO,NO,NO,NO,NO,NO,,ADECUADO,ADMINISTRADO POR LA MUNICIPALIDAD DISTRITAL DE ATICO. COMPLEJO DEPORTIVO CERRADO,ADMINISTRADO POR LA MUNICIPALIDAD DISTRITAL DE ATICO. COMPLEJO DEPORTIVO CERRADO,"SE REQUIERE LA RECUPERACION DE DICHO PREDIO Y/O LA FORMALIZACION MEDIANTE CONVENIO, POR QUE ACTUALMENTE NO ES UTILIZADO CON FINES DEPORTIVOS SI NO ADMINISTRATIVOS DE PARTE  DE LA MUNICIPALIDAD DISTRITAL DE ATICO",PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,COMPLEJO DEPORTIVO ATICO,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,COMPLEJO DEPORTIVO,CALLE FCO. BOLOGNESI Y SAN PEDRO,23151,PARTIDA ELECTRÓNICA,1100009,SI,NO TIENE,UCR,CALLE FCO. BOLOGNESI Y SAN PEDRO,COMPLEJO DEPORTIVO ÁTICO,COMPLEJO DEPORTIVO,23151,IPD,"MUNICIPALIDAD DISTRITAL DE ÁTICO, SIN CONVENIO.",1100009,SI,CONVENIO N° 024-2014 - TRANSFERENCIA DE PARTIDAS,CONVENIO ADM POR OTRAS INSTITUCIONES,MUNICIPALIDAD DISTRITAL DE ATICO,NO VIGENTE,INFRAESTRUCTURA,● LOSA DEPORTIVA,MALO,,SIN ITSE,NO ESPECIFICA,MNTO,CALLE FCO. BOLOGNESI Y SAN PEDRO,COMPLEJO DEPORTIVO ATICO,NO,REGIONES,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,"23151,00",SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
040704,ISLAY,ISLAY,AREQUIPA,COMPLEJO DEPORTIVO MATARANI ISLAY,INSTALACION DEPORTIVA Y/O RECREATIVA,COMPLEJO DEPORTIVO RECREATIVO,COMPLEJO DEPORTIVO RECREATIVO,CAMPO DEPORTIVO DE FUTBOL,FUTBOL,SI,NO,"-72,09356731","-16,99661944",NO,NO,NO,NO,NO,NO,NO,,ADECUADO,ADMINISTRADO POR LA MUNICIPALIDAD DISTRITAL DE MATARANI SIN CONVENIO ALGUNO,ADMINISTRADO POR LA MUNICIPALIDAD DISTRITAL DE MATARANI SIN CONVENIO ALGUNO,SE REQUIERE LA RECUPERACION DEL PREDIO Y/O LA FORMALIZACUION MEDIANTE CONVENIO.,PROPIO,PREDIOS QUE ADMINISTRA EL IPD A NIVEL NACIONAL,COMPLEJO DEPORTIVO MATARANI ISLAY,EDIFICIO COMPLETO / OTRAS EDIFICACIONES COMPLETAS,AREA DEPORTIVA,COMPLEJO DEPORTIVO,"AV. 2, PP.JJ. ALTO ISLAY MATARANI, LOTE 1 MZ H","19926,28",PARTIDA ELECTRÓNICA,12003960,SI,NO TIENE,UCR,PP.JJ. ALTO ISLAY MATARANI,COMPLEJO DEPORTIVO MATARANI ISLAY,COMPLEJO DEPORTIVO,"19926,28",ESTADO-IPD,MUNICIPALIDAD PROVINCIAL DE MATARANI (SIN CONVENIO),12003960,SI,SIN CONVENIO,SIN CONVENIO ADM POR OTRAS INSTITUCIONES,NO APLICA,NO APLICA,INFRAESTRUCTURA,● LOSA DE FULBITO,REGULAR,,SIN ITSE,NO ESPECIFICA,MNTO,PP.JJ. ALTO ISLAY MATARANI,COMPLEJO DEPORTIVO MATARANI ISLAY,NO,REGIONES,ALESSANDRA LOPEZ,INGENIERA CIVIL,02UM,19926.28,SIN ITSE,,,,,,,,NO HAY DIAGNOSTICO,,NO HAY PROYECTO,,
